YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,avg
1999,3.0,1.6,2.1,2.3,0.4,0.4,0.9,0.6,-0.1,1.6,1.7,2.4,1.4083333333333332
2000,1.1,2.7,2.2,2.0,0.6,-0.3,-0.3,1.2,1.4,1.8,3.0,1.3,1.3916666666666666
2001,1.6,2.8,1.5,0.3,-0.8,0.5,-0.3,-0.7,0.3,-0.1,1.1,-1.4,0.4000000000000001
2002,0.7,1.8,-0.4,-0.1,-1.4,-0.4,-0.8,-1.6,-1.0,-0.6,-0.7,-1.8,-0.525
2003,-0.3,-1.1,-0.5,-0.2,-0.5,-1.0,0.5,0.2,-0.2,0.0,-0.5,1.8,-0.15000000000000005
2004,-2.2,2.0,0.7,-1.5,1.7,-1.4,-0.8,-0.5,-0.6,-0.1,-1.1,-1.3,-0.42500000000000004
2005,0.6,-5.2,0.5,-1.0,-1.3,0.7,0.3,-0.6,0.6,2.0,-0.3,-0.0,-0.3083333333333334
2006,2.7,0.2,2.9,1.8,-0.8,-0.4,-1.0,-1.7,-1.0,-2.1,0.1,-0.5,0.016666666666666673
2007,-1.3,-0.1,0.3,-0.2,-0.2,0.9,-0.5,0.7,0.3,1.2,1.4,2.7,0.4333333333333333
2008,2.9,4.4,2.4,1.1,-0.1,1.0,0.5,1.7,2.0,2.1,2.2,2.4,1.883333333333333
2009,1.8,3.1,0.7,1.3,-0.2,0.2,0.4,-0.3,0.5,-2.0,-1.0,-1.2,0.27499999999999997
2010,-1.8,-2.4,-1.1,2.0,1.5,0.6,3.0,3.0,3.7,2.9,2.1,4.8,1.5250000000000001
2011,3.8,4.5,4.2,3.1,0.6,0.4,1.6,0.7,1.7,1.2,1.8,4.1,2.3083333333333336
2012,1.8,0.8,1.2,-0.4,0.1,-0.7,-0.1,-0.3,0.4,0.5,0.4,-1.0,0.22499999999999998
2013,-0.1,-0.4,2.5,0.4,1.3,2.0,1.3,0.3,0.5,-0.1,1.2,0.1,0.75
2014,2.4,0.1,-1.5,1.3,0.9,0.3,-0.3,-1.2,-1.2,-1.0,-1.5,-0.9,-0.21666666666666667
2015,-1.4,0.4,-1.2,-0.1,-1.2,-0.9,-1.9,-2.4,-2.7,-2.8,-0.8,-0.9,-1.325
2016,-3.6,-3.2,-0.1,-2.0,0.7,1.1,0.7,1.2,2.0,-0.4,-0.2,0.5,-0.275
2017,0.3,-0.1,1.5,-0.3,0.4,-0.7,1.3,0.9,1.0,1.5,1.5,-0.2,0.5916666666666667
2018,1.8,-0.8,2.4,0.8,0.6,-0.2,0.4,-0.5,-1.5,0.6,-0.1,1.7,0.43333333333333335
2019,-0.1,-2.3,-0.5,0.2,-0.7,-0.7,-0.6,-0.2,-1.9,-0.6,-1.4,-0.9,-0.8083333333333335
2020,0.3,-0.1,-0.2,0.3,0.7,-0.6,0.7,1.8,1.5,0.8,1.1,3.0,0.775
2021,3.2,2.5,0.6,0.6,0.8,0.7,2.3,1.0,1.3,1.2,,,1.42
2022,,,,,,,,,,,,,
2023,,,,,,,,,,,,,
2024,,,,,,,,,,,,,
2025,,,,,,,,,,,,,
2026,,,,,,,,,,,,,
2027,,,,,,,,,,,,,
2028,,,,,,,,,,,,,
2029,,,,,,,,,,,,,
2030,,,,,,,,,,,,,
