293.11 293.80 292.92 292.35 292.99 294.53 295.43 296.69 297.44 296.99 295.90 294.09 292.32 288.91 285.50 284.32 284.07 282.13 277.29 277.51 278.65 278.72 284.94 289.52 289.89 289.52 289.67 288.21
293.39 294.66 294.38 293.95 293.27 293.97 295.21 295.69 295.72 295.84 295.22 294.87 293.79 291.93 291.16 289.96 286.25 281.93 276.02 276.94 280.91 289.68 289.77 289.98 288.95 288.77 288.31 288.69
291.54 293.06 288.56 297.07 295.31 294.57 294.57 294.17 294.39 294.86 295.20 294.59 293.87 292.92 291.85 290.53 288.63 284.35 277.60 281.04 278.93 285.44 288.89 287.66 289.36 288.70 286.40 285.88
292.61 295.00 291.56 288.60 295.63 292.21 294.09 293.93 293.21 293.86 294.85 295.11 294.73 293.89 293.25 291.90 290.54 288.32 286.11 281.58 279.28 280.52 290.87 289.81 288.38 288.11 288.09 288.19
292.90 294.80 296.61 292.79 295.73 291.59 291.97 293.51 293.33 293.90 293.55 294.39 294.42 294.07 294.14 293.78 293.03 291.65 290.49 287.55 284.68 288.90 291.51 292.46 290.66 289.74 289.19 288.58
295.39 294.22 294.73 295.08 295.12 293.37 292.57 292.47 292.20 292.65 291.91 292.43 293.15 291.86 291.72 292.73 292.92 293.03 291.86 291.39 290.38 291.90 293.35 293.12 291.35 290.28 288.83 288.56
295.37 295.05 295.11 295.86 295.19 292.54 293.24 292.45 291.37 291.34 291.74 292.06 292.16 290.50 289.25 288.38 288.86 289.13 292.29 290.96 290.83 290.98 291.95 292.49 289.76 289.41 288.86 289.47
299.79 297.65 295.74 296.49 294.36 292.75 292.75 292.93 291.08 289.95 286.80 281.82 280.87 281.08 283.56 287.27 282.90 286.91 288.81 290.31 290.27 289.39 288.73 288.38 287.76 288.01 288.76 288.50
301.32 300.26 298.88 297.74 295.48 294.64 293.13 293.07 292.41 281.73 282.08 287.98 284.39 281.07 281.98 281.72 285.70 284.03 282.93 282.86 283.45 283.21 284.39 285.61 287.83 287.00 287.51 288.38
302.92 301.50 301.74 300.31 298.98 298.08 297.90 297.20 296.33 294.82 295.07 295.01 292.00 289.83 291.46 288.83 286.39 285.83 285.34 284.07 282.97 281.76 281.86 284.42 286.39 286.33 287.30 290.26
303.68 304.27 303.42 300.87 302.42 301.59 301.33 300.98 299.65 298.48 297.52 298.70 297.71 289.57 290.07 292.02 291.48 283.98 285.56 286.22 284.70 281.72 280.91 282.48 285.70 287.75 286.61 289.27
303.75 303.85 304.04 302.20 301.27 301.67 302.20 300.67 300.09 299.53 299.11 298.56 298.08 291.78 296.03 294.75 293.54 286.91 287.57 290.27 290.35 286.42 284.90 285.25 286.12 283.53 283.18 284.72
301.48 302.47 303.45 303.88 302.56 301.99 301.89 301.24 300.24 300.07 299.26 299.99 299.49 296.67 297.82 298.55 298.26 297.48 297.04 295.69 295.45 292.44 293.35 290.81 286.59 282.31 284.75 283.17
300.64 300.71 302.01 303.01 303.41 302.31 302.51 302.00 301.55 301.14 300.25 301.29 301.60 298.40 298.86 298.64 299.19 299.53 297.16 295.22 292.41 292.31 291.13 291.83 289.93 285.91 286.06 284.83
301.04 301.57 302.27 302.64 303.18 302.84 302.47 302.13 302.12 302.41 302.17 301.75 301.65 300.61 298.99 298.87 298.05 295.99 294.79 294.02 292.50 292.54 292.73 291.64 289.57 290.10 288.26 287.91
300.84 300.85 301.07 300.98 301.14 301.02 300.39 299.36 298.96 298.73 298.65 299.22 300.01 300.41 299.79 298.52 298.23 297.66 296.73 294.87 295.24 292.48 297.07 297.33 294.88 294.86 291.23 290.62
299.71 300.04 299.28 298.49 297.60 297.73 297.01 296.50 295.99 295.26 295.44 296.50 297.08 298.14 300.67 300.74 299.86 299.11 299.54 299.21 296.36 296.57 297.68 299.26 297.24 294.38 292.66 293.12
298.62 297.62 296.84 295.80 296.28 296.24 296.24 295.95 296.58 295.40 296.91 296.00 296.41 297.28 299.07 301.19 301.83 301.42 299.72 296.17 294.74 294.74 298.27 298.97 297.60 294.65 294.71 295.63
299.13 296.98 297.58 296.87 296.47 297.50 296.58 295.73 295.02 296.16 296.87 296.62 296.30 296.57 297.11 297.52 297.37 294.43 293.42 293.68 296.10 296.95 298.31 299.66 299.00 295.82 296.99 298.60
298.29 296.87 297.46 297.22 296.53 295.35 293.41 294.60 296.29 297.14 297.21 297.11 296.64 296.43 296.42 292.64 294.83 294.59 290.23 294.19 295.34 296.87 298.33 298.95 299.36 297.53 299.27 298.62
297.21 297.43 297.99 297.37 296.76 296.56 295.35 296.87 297.70 297.83 297.12 297.14 296.93 296.38 295.27 294.73 293.45 294.70 296.44 297.52 298.76 299.16 299.06 299.01 298.76 299.32 298.62 297.84
299.52 297.72 298.94 299.15 299.44 298.13 297.52 298.07 298.07 298.70 298.54 298.55 297.60 297.12 297.53 295.56 295.32 297.32 299.61 300.55 298.90 298.19 298.14 299.19 299.47 298.99 297.93 297.35
300.53 298.44 295.94 297.63 297.87 298.14 297.99 297.47 298.58 299.54 299.53 298.54 299.22 297.07 295.79 296.47 296.94 299.55 299.60 299.51 298.67 298.84 298.93 299.00 298.75 298.26 297.66 297.49
300.01 297.97 297.42 298.31 299.77 299.90 298.88 297.91 298.42 298.92 299.20 298.00 299.09 298.84 296.85 297.33 297.96 299.01 299.95 298.65 299.02 299.18 299.00 298.76 298.30 298.02 297.85 297.79
299.56 299.65 299.33 298.71 299.61 298.10 297.17 297.45 299.12 299.53 299.57 298.64 299.68 298.49 300.02 297.67 297.47 298.33 298.89 298.96 299.19 299.15 298.86 298.67 298.27 298.22 298.18 298.16
300.39 299.98 299.22 297.23 298.00 297.17 297.30 297.58 298.79 299.67 300.35 299.40 299.41 299.89 299.76 299.65 299.96 298.23 297.88 299.05 299.39 299.33 298.72 298.83 298.59 298.48 298.43 298.51
