Year  Mon  Ver  TotalArc  Okhotsk   Bering   Hudson   Baffin  Grnland  BarKara  ArctOcn  CanArch   StLawr
2016   10  v1.1   6489544    42709     3034    27551   103495   382986    94364  5223586   611815        0
2016   11  v1.1   9080282    76363    26882   179691   525071   438201   356530  6712811   750859     7584
2016   12  v1.1  12062117   413256   160643  1231642   886852   506867   957592  7086855   750859    27159
2017    1  v1.1  13394913   829382   407055  1231642  1172518   600387  1188904  7071514   750859    43024
2017    2  v1.1  14261171   979680   597870  1231642  1279893   633180  1405403  7120834   750859   116196
2017    3  v1.1  14456364   828924   654256  1231642  1310610   734778  1489807  7158209   750859   162223
2017    4  v1.1  13823701   484950   490532  1231642  1302922   773289  1488949  7158209   750859    58272
2017    5  v1.1  12747403   162985    63125  1229861  1196499   741381  1412811  7124610   750859    33129
2017    6  v1.1  11065909    59450    13160  1029368   758252   658892  1012722  6785371   743943     4191
2017    7  v1.1   8271989        0        0   189035   365158   492307   557449  6027473   640565        0
2017    8  v1.1   5510251        0        0    22913    81206   182126   156716  4572665   494624        0
2017    9  v1.1   4894919        0      602    10991    62713   139234    79389  4160496   441491        0
2017   10  v1.1   7399693    37006     2426    26822   169358   250442   414471  5840155   659009        0
2017   11  v1.1   9844098    54128     7792   482764   614394   412726   877421  6630128   750859     7573
2017   12  v1.1  12011969   366957    95809  1228148   782317   534668  1108293  7073642   750859    33303
2018    1  v1.1  13246553   704952   300646  1231642  1078780   567558  1236272  7134580   750859   131679
2018    2  v1.1  14115339   980709   327181  1231642  1391876   552200  1393757  7106974   750859   206442
2018    3  v1.1  14408998  1152567   341622  1231642  1272664   587844  1617164  7122741   750859   115833
2018    4  v1.1  13766034   832771   156071  1231642  1196898   605393  1683675  7149680   750859    46467
2018    5  v1.1  12363082   154789    21306  1226359  1127140   504956  1467562  7042078   750859    26877
2018    6  v1.1  10926087    52163     5366  1105833   773451   405010  1094892  6764567   723757     1045
2018    7  v1.1   8661358        0        0   488378   415095   321671   530051  6224413   681749        0
2018    8  v1.1   5622998        0        0    78417    66526   144526    66094  4710693   556740        0
2018    9  v1.1   4834953        0      602    12853    54129   176141    60408  3999248   531569        0
2018   10  v1.1   6824601    40931     5440    88015   234890   379019    83032  5257282   735988        0
2018   11  v1.1  10279618    47400     8974   660978   706577   452496   912147  6725029   750859    10054
2018   12  v1.1  12092694   237855   303413  1231642   855404   562732   984617  7097850   750859    29273
2019    1  v1.1  13743560   711671   530288  1231642  1103234   624132  1395490  7154275   750859   113298
2019    2  v1.1  14568478  1162013   418888  1231642  1251590   638987  1554141  7158209   750859   246851
2019    3  v1.1  14718668  1202103   349560  1231642  1278552   679739  1681837  7158209   750859   260525
2019    4  v1.1  13525194   648094   219598  1231642  1112343   712869  1537244  7158209   750859    70611
2019    5  v1.1  12310298   153111    50253  1231642   977217   656535  1385447  7054281   750859    24334
2019    6  v1.1  10853923    55468    19182  1087538   615454   614868  1106226  6652158   701941      526
2019    7  v1.1   7950734        0      602   357822   176214   461614   463954  5825108   665417        0
2019    8  v1.1   5021197        0        0    16274    41755   299454   115857  4086622   461232        0
2019    9  v1.1   4451713        0      602    12836    27873   229855    74741  3704671   401132        0
2019   10  v1.1   6130548    37469     3635    16455    57671   421419   197910  4832616   563369        0
2019   11  v1.1   9759337    66256    41141   229669   357304   549641  1094622  6655042   750859     9068
2019   12  v1.1  12253321   296504   155343  1167936   719479   595874  1337676  7158209   750859    27157
2020    1  v1.1  13804917   788745   487340  1231642  1017276   595061  1581517  7158209   750859    98223
2020    2  v1.1  14749168  1067233   736732  1231642  1196006   647733  1645622  7158209   750859   210616
2020    3  v1.1  14927841  1073306   737003  1231642  1246569   735952  1668774  7158209   750859   226176
2020    4  v1.1  13682679   556868   439711  1231642  1052230   786522  1596158  7158209   750859    48606
2020    5  v1.1  12569570   183211   280678  1206607   863440   688766  1381617  7158209   750859    23335
2020    6  v1.1  10858243    64852    26414  1021530   646152   622490   839708  6911033   723375     1572
2020    7  v1.1   7667921        0      602   350054   224501   471288   296338  5660872   664264        0
2020    8  v1.1   5207840        0        0    37169    31959   311905    83801  4254313   488690        0
2020    9  v1.1   4100908        0      602    12830    38418   282358    62927  3287998   415773        0
2020   10  v1.1   5591115    42668     4794    20065    75971   428201   100077  4338163   581171        0
2020   11  v1.1   9476049    46081    10804   565071   459569   575963   458798  6593283   750859     7584
2020   12  v1.1  12254325   357770   196534  1215283   747184   666412  1110540  7141820   750859    27307
2021    1  v1.1  13727017   882321   515707  1231642   933691   705304  1426237  7120122   750859    31916
2021    2  v1.1  14535363  1092615   618014  1231642  1068433   686818  1717581  7133922   750859    59475
2021    3  v1.1  14732822  1166023   621983  1231642  1154315   716900  1728484  7145728   750859    76008
2021    4  v1.1  13861868   718300   547626  1231642  1075347   707813  1550166  7158209   750859    42636
2021    5  v1.1  12806886   268553   364861  1200796   884807   735863  1391918  7158209   750859    19856
2021    6  v1.1  11005369    74484    39539  1025659   636526   591572  1034822  6865608   733976     2624
2021    7  v1.1   7739490        0      602   194615   237851   274492   483953  5899388   648586        0
2021    8  v1.1   5770344        0        0    58612    43359   126815   213358  4795886   532311        0
2021    9  v1.1   5032585        0        0    11609    45596    86257   130847  4283562   474712        0
2021   10  v1.1   7757183    33086     3034    14527    65421   330176   449577  6398328   463032        0
2021   11  v1.1  10290482    57624   137671   117189   493311   467713  1107276  7143779   750859     7080
2021   12  v1.1  12597783   369789   406197  1073430   724923   587876  1455304  7139836   750859    30303
